Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
1,,,,,"Lotes de terreno sobrante de la hacienda (Norias del Refugio o del Conde), ex confinamiento de residuos peligrosos La Pedrera a 100 km al noreste de la capital de San Luis Potosí, por la carretera No.57 México-Piedras Negras, entronque-poblado El Huizache",,,,,,,,,,,Disposición final,Secretaría de Medio Ambiente y Recursos Naturales,Disposición final en el sitio,2007,21300,,35457
2,Pasivo ambiental,Ferrocarriles Nacionales de México en Liquidación,San_Luis_Potosí,San Luis Potosí,"Avenida 20 de noviembre esquina con Juan Álvarez, colonia Azteca Norte",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,"Hidrocarburos, metales, metaloides",Mezcla de contaminantes,137712,368472,No,-100.969,22.154,,,,,,2008,
3,,,,,"Avenida Internacional No. 130-1, centro industrial Los Pinos (Metales y Derivados de México, S. A. de C. V.)",,,,,,,,,,,Disposición final,Promotora Tijuana para el Desarrollo de las Comunidades Rurales y Populares Tijuana del Gobierno del estado de Baja California.,Disposición final en el sitio,2017,11296,,16329
4,,,,,"Ex Confinamiento de Residuos Peligrosos, predio Las Víboras (CYTRAR), km 244+800 de la carretera Internacional No. 15 Guaymas-Hermosillo",,,,,,,,,,,Disposición final,Secretaría de Medio Ambiente y Recursos Naturales,Disposición final en el sitio,2009,27510,,2300
8,,,,,"Km 285+888 oleoducto de 24"" Ø Nuevo Teapa-Venta de Carpio",,,,,,,,,,,Biológicos,"Biosfera, Tecnología Integral, S.A. de C.V. ",Biorremediación por landfarming a un lado del sitio contaminado,2011,11306.03,,416
10,,,,,"Km 248+750.5 poliducto de 14""Ø de Satélite-Gómez Palacio, Ejido San Nicolás",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,440,,2214.51
11,,,,,"Km 304+500 poliducto de 10"" Ø de Satélite-Gómez Palacio, Ejido Santoña ",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,11.67,,103.38
12,,,,,Aeropuerto de la Madrid Hurtado,,,,,,,,,,,Biológicos,"Universidad Nacional Autónoma de México, Instituto de Ingeniería",Biorremediación por biopilas a un lado del sitio contaminado,2009,6,,7.52
14,,,,,"Calle Lago Zurich No. 168, colonia Ampliación Granada",,,,,,,,,,,Químicos,"Universidad Autónoma Metropolitana, Laboratorio de Calidad del Agua y Residuos",Oxidación química a un lado del sitio contaminado,2009,1089.14,,1510
15,,,,,"Km 108+450 poliducto 10"" Ø Salamanca-León",,,,,,,,,,,Químicos,"Technosan, S.A. de C.V. /Servicios Ambiotrat, S.A. de C.V. ",Oxidación química a un lado del sitio contaminado,2010,10864.44,,32546.37
