No. de registro,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Cuenta con programa de remediación aprobado,x,y
770,2011,Pasivo ambiental,Ferrocarriles Nacionales de México en Liquidación,Chiapas,Tapachula,"Calle 16 Poniente y Central Sur, colonia Centro, C.P. 30700",Fuga,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos de  fracción media,Hidrocarburos,78.5,235.5,Si,-92.268,14.899
1165,2012,Emergencia ambiental,"Transportadores de Líquidos del Norte, S.A. de C.V.",Chiapas,Pijijiapan,"Km 129+000 carretera No. 200 Tepic-Puente Talismán Chiapas, tramo Tonalá-Pijijiapan",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,16.692,23.4,Si,-93.33,15.762
1478,2013,Emergencia ambiental,Alma Ruth Gutiérrez Vera,Oaxaca,San Pedro Huamelula,"Km 288+900 camino nacional No. 200 Tepic-Puente Talismán, tramo Bahías de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos pesados,Hidrocarburos,522.5,176.75,Si,-95.885,15.881
1398,2013,Emergencia ambiental,"Línea Transportadora Monchis, S.A. de C.V.",Oaxaca,San Pedro Huamelula,"Km 290+400 camino nacional No. 200 Tepic-Puente Talismán, tramo Bahía de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,118,172,Si,-95.885,15.889
324,2009,Emergencia ambiental,"Comisión de Contratos, S.C.",Chiapas,Tonalá,"Km 089+200 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos, limites de los estados de Chiapas y Oaxaca ",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,2175.41,2531.65,Si,-93.624,15.967
756,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,Salina Cruz,Carretera Transísmica km 1,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,7.5,9.72,Si,-95.203,16.203
1319,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 005+650 combustoleoducto de 16” Ø, Refinería Ing. Antonio Dovalí Jaime-Terminal Marítima Salina Cruz de la Línea 1, del derecho de vía 45, colonia Hugo Mayoral",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,101.16,240.58,Si,-95.217,16.208
1320,2012,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 001+490, 1+520 y 1+535 oleoducto de 48"" Ø Nuevo Teapa-Salina Cruz dentro de la Refinería ""Ing. Antonio Dovalí Jaime""",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,3063.43,12125.99,Si,-95.182,16.211
1326,2012,Emergencia ambiental,Eusebio Santana Vega,Chiapas,Arriaga,"Km 7+250 camino nacional No. 200 Tepic-Puente Talismán, en el tramo libramiento Arriaga-Chiapas",Derrame,Otro autotransporte local de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,377.63,755.26,Si,-93.868,16.219
1192,2012,Emergencia ambiental,"Carel Express, S.A. de C.V.",Chiapas,Arriaga,"Km 030+600 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos-límites de los estados Chiapas/Oaxaca",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,1015.09,1670,Si,-94.012,16.228
2404,2022,Emergencia ambiental,"Gasolinera Cristóbal Colón de Juchitán, S.A. de C.V.",Chiapas,Arriaga,Km 009+700 carretera Ocozocuautla,Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,680,568,No,-93.86,16.302
2307,2021,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 180+600 carretera No. 190 Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,275,301,Si,-95.773,16.399
2252,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+100 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,144,180,Si,-95.797,16.408
2253,2020,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+050 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,175,262.5,Si,-95.797,16.408
980,2011,Emergencia ambiental,Pemex Refinación,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Km 216+000 poliducto de 16"" Ø Minatitlán-Salina Cruz ",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos,Hidrocarburos,10507.16,37687.01,Si,-95.079,16.412
737,2011,Pasivo ambiental,Comisión Federal de Electricidad,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,Acceso principal sobre la carretera Panamericana km 821 colonia Felipe Pescador,Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Hidrocarburos pesados,Hidrocarburos,N.E.I.,3.42,No,-95.02,16.446
2060,2019,Pasivo ambiental,"Ferrocarriles Nacionales de México en Liquidación (enajenante)  Fomento del Itsmo de Tehuantepec, S.A. de C.V. (adquiriente) Responsable de la remediación ",Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,"Estación de ferrocarril de Juchitán, línea K del ferrocarril del km 014+280 al 015+335.09",Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Hidrocarburos ligeros,Hidrocarburos,2000,N.E.I.,No,-95.025,16.452
