No. de registro,Clasificación de técnica o proceso de tratamiento,Año de identificación como sitio contaminado,Modalidad del sitio contaminado,Responsable de la contaminación,Responsable técnico de la remediación,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Técnica o proceso de tratamiento,Año de conclusión de la remediación,Área de suelo remediado m²,Volumen de suelo remediado m³,x,y
103,Biológicos,2008,Pasivo ambiental,Aeropuertos y Servicios Auxiliares,"Universidad Nacional Autónoma de México, Instituto de Ingeniería ",Chiapas,Tapachula,Estación de combustible del Aeropuerto de Tapachula ubicada en el km 18.5 carretera Puerto Madero ,Derrames y/o fugas,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,3.14,73.16,"3,542,237.41","346,808.42"
1891,Biológicos,2017,Emergencia ambiental,"Petro Asfaltos del Sureste, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Km 11+500 carretera No. 225 Tapachula-Puerto Madero-Ciudad Hidalgo, tramo Tapachula-entronque Jaritas",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2018,135,145,"3,546,809.56","352,072.31"
1634,Biológicos,2014,Emergencia ambiental,"Operadora de Líneas de Transportes, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Libramiento sur-oriente, dentro de la pensión Santa Fe",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,209.3,345.34,"3,553,076.73","354,835.50"
1618,Biológicos,2014,Emergencia ambiental,"Transportes Especializados Santana González, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Tapachula,"Km 229+100 camino nacional No. 200 Tepic-Puente Talismán, tramo Carretero Tapachula-Escuintla",Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2017,458.25,195,"3,514,497.99","395,341.77"
2245,Biológicos,2020,Emergencia ambiental,"Operadora de Líneas de Transportes, S.A. de C.V.","EQS Consulting Group, S.A. de C.V.",Chiapas,Villa Comaltitlán,Km 228+300 carretera No. 2530 Tepanatepec-Talismán,Derrame,Otro autotransporte foráneo de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2022,267,257.66,"3,513,758.43","395,866.70"
244,Biológicos,2009,Emergencia ambiental,"Petroquímicos Ruices, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Mapastepec,"Km 196+300 camino nacional No. 200 Tepic-Puente Talismán, tramo Mapastepec-Tapachula",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming en el sitio contaminado,2009,50,125,"3,487,152.30","412,691.08"
135,Biológicos,2008,Emergencia ambiental,"Autotanques Nacionales, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Pijijiapan,"Km 174+500 carretera No. 200 Tepic-Puente Talismán, tramo Escuintla-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos,Hidrocarburos,Biorremediación por biopilas a un lado del sitio contaminado,2009,114,125,"3,470,076.41","424,845.99"
655,Biológicos,2011,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Chiapas,Pijijiapan,"Km 170+000 carretera federal No. 200 Tepic Puente Talismán, en el tramo Escuintla-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2012,80,96,"3,466,191.54","427,696.79"
836,Biológicos,2011,Emergencia ambiental,"Transportadores Unidos TUSA, S.A. de C.V.","Isali, S.A. de C.V.",Chiapas,Pijijiapan,"Km 156+600 camino nacional No. 200 Tepic-Puente Talismán, tramo Tres Picos-Escuintla",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2013,293.56,395,"3,455,266.43","434,767.89"
331,Biológicos,2009,Emergencia ambiental,"Autotanques Estrella, S. de R.L. de C.V.","Ingeniería Ecológica del Sureste, S.A. de C.V.",Oaxaca,San Pedro Huamelula,"Km 255+300 carretera federal No. 200, tramo Bahías de Huatulco-Santiago Astata",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Bioventeo aerobio en el sitio contaminado,2010,600,150,"3,132,307.43","435,862.21"
49,Biológicos,2008,Emergencia ambiental,"Servicio Público Especializado Huerta, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Chiapas,Tonalá,"Km 099+800 carretera federal No. 200 Tepic-Talismán, tramo Arriaga-Tres Picos",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2008,90,348,"3,407,945.96","463,480.00"
1327,Biológicos,2012,Emergencia ambiental,"Especialíquidos, S.A. de C.V.","Ecología 2000, S.A. de C.V.",Oaxaca,Santiago Astata,"Km 336+900 camino nacional No. 200 Tepic Nayarit-Puente Talismán, tramo Santiago Astata-Salina Cruz, poblado La Cotorra",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,Biorremediación por landfarming a un lado del sitio contaminado,2015,255,130,"3,194,098.77","459,488.34"
